"ID","NAME","SEX","AGE","COUNTRY","YEAR","SPORT","MEDALS"
"94406","Michael Phelps","M","31.0","USA","2016","Swimming","28"
"85613","Neymar Júnior","M","24.0","Brazil","2016","Football","2"
"13029","Usain Bolt","M","29.0","Jamaica","2016","Athletics","8"
"55881","Michael Jordan","M","29.0","USA","1992","Basketball","2"
"11495","Simone Biles","F","19.0","USA","2016","Gymnastics","5"
"110558","Thiago Silva","M","27.0","Brazil","2012","Football","2"
"40131","Gilberto Filho Giba","M","35.0","Brazil","2012","Volleyball","3"
"22570","Nadia Comaneci","F","18.0","Romania","1980","Gymnastics","9"
"37808","Gabriel Jesus","M","19.0","Brazil","2016","Football","1"
"12086","Yohan Blake","M","26.0","Jamaica","2016","Athletics","4"
"133931","Arthur Zanetti","M","26.0","Brazil","2016","Gymnastics","2"
"110549","Rafaela Silva","F","24.0","Brazil","2016","Judo","1"
"24724","Mayra Silva","F","25.0","Brazil","2016","Judo","2"
"21544","César Cielo","M","25.0","Brazil","2012","Swimming","3"
"38457","Fernanda Rodrigues","F","26.0","Brazil","2012","Volleyball","1"
"35894","Esquiva Falcão","M","22.0","Brazil","2012","Boxing","1"
"55424","Magic Johnson","M","32.0","USA","1992","Basketball","1"
"75451","Marta Silva","F","22.0","Brazil","2008","Football","2"
