"ID","NAME","SEX","AGE","COUNTRY","YEAR","SPORT","MEDALS"
"129771","A. West","M","31.0","UK","2008","Rowing","1"
"3684","Aage Andersen","M","22.0","Denmark","1906","Football","1"
"11657","Aage Birch","M","42.0","Denmark","1968","Sailing","1"
"32922","Aage Eriksen","M","31.0","Norway","1948","Wrestling","1"
"36724","Aage Frandsen","M","29.0","Denmark","1920","Gymnastics","1"
"45777","Aage Hansen","M","21.0","Denmark","1912","Gymnastics","1"
"56099","Aage Jrgensen","M","20.0","Denmark","1920","Gymnastics","1"
"66768","Aage Larsen","M","24.0","Denmark","1948","Rowing","1"
"92600","Aage Pedersen","M","29.0","Denmark","1928","Sailing","1"
"128325","Aage Walther","M","23.0","Denmark","1920","Gymnastics","1"
"62062","Aagje Linden)","F","21.0","Netherlands","1968","Swimming","3"
"122961","Aale (-Pirinen","F","34.0","Finland","1948","Art Competitions","1"
"92837","Aarne Pelkonen","M","20.0","Finland","1912","Gymnastics","1"
"95679","Aarne Pohjonen","M","22.0","Finland","1908","Gymnastics","1"
"99800","Aarne Reini","M","29.0","Finland","1936","Wrestling","1"
"5150","Aaron Armstrong","M","30.0","Trinidad","2008","Athletics","1"
"15460","Aaron Brown","M","24.0","Canada","2016","Athletics","1"
"31551","Aaron Egbele","M","25.0","Nigeria","2004","Athletics","1"
"35876","Aaron Flood","M","25.0","USA","1936","Wrestling","1"
"39016","Aaron Gate","M","21.0","New Zealand","2012","Cycling","1"
"77625","Aaron McIntosh","M","28.0","New Zealand","2000","Sailing","1"
"79865","Aaron Miller","M","30.0","USA","2002","Ice Hockey","1"
"85699","Aaron Nguimbat","M","22.0","Cameroon","2000","Football","1"
"92771","Aaron Peirsol","M","25.0","USA","2008","Swimming","7"
"103595","Aaron Russell","M","23.0","USA","2016","Volleyball","1"
"66988","Aartje Lasterie","F","20.0","Netherlands","1964","Swimming","1"
"80701","Aas Mmmdov","M","24.0","Azerbaijan","2004","Boxing","1"
"94841","Aavo Pikkuus","M","21.0","Russia","1976","Cycling","1"
"5342","Abas Arslanagi","M","27.0","Serbia","1972","Handball","1"
"53277","Abbas Jadidi","M","27.0","Iran","1996","Wrestling","1"
"129476","Abbey Weitzeil","F","19.0","USA","2016","Swimming","2"
"5778","Abbos Atayev","M","26.0","Uzbekistan","2012","Boxing","1"
"11779","Abby Bishop","F","23.0","Australia","2012","Basketball","1"
"673","Abdel Achik","M","29.0","Morocco","1988","Boxing","1"
"31996","Abdel El-Gindy","M","24.0","Syria","1960","Boxing","1"
"98966","Abdel Rashid","M","24.0","Egypt","1952","Wrestling","1"
"132240","Abdelghani Yalouz","M","28.0","France","1996","Wrestling","1"
"45314","Abderrahmane Zaheer","M","23.0","Algeria","2000","Athletics","1"
"90922","Abdon Pamich","M","31.0","Italy","1964","Athletics","2"
"2610","Abdoul Alfaga","M","21.0","Niger","2016","Taekwondo","1"
"109018","Abdoulaye Papa","M","26.0","France","1960","Athletics","1"
"1949","Abdul Al-Hasan","M","25.0","Pakistan","1984","Hockey","1"
"45253","Abdul Hamid","M","22.0","Pakistan","1964","Hockey","1"
"45252","Abdul Hamid","M","33.0","Pakistan","1960","Hockey","2"
"59134","Abdul Khan","M","23.0","Pakistan","1960","Hockey","1"
"98968","Abdul Rashid","M","29.0","Pakistan","1976","Hockey","3"
"104166","Abdul-Rashid Sadulayev","M","20.0","Russia","2016","Wrestling","1"
"2112","Abdullah Al-Rashidi","M","52.0","Individual Olympic Athletes","2016","Shooting","1"
"109270","Abdullah Al-Sharbatly","M","29.0","Saudi Arabia","2012","Equestrianism","1"
"82687","Abdullah Ardabili","M","28.0","Iran","1968","Wrestling","1"
"109475","Abdullahi Shehu","M","23.0","Nigeria","2016","Football","1"
"118449","Abdullo Tangriyev","M","27.0","Uzbekistan","2008","Judo","1"
"11467","Abebe Bikila","M","32.0","Ethiopia","1964","Athletics","2"
"60779","Abel Kirui","M","30.0","Kenya","2012","Athletics","1"
"60954","Abel Kiviat","M","19.0","USA","1912","Athletics","2"
"67070","Abel Laudonio","M","21.0","Argentina","1960","Boxing","1"
"83742","Abel Mutai","M","23.0","Kenya","2012","Athletics","1"
"401","Abelardo Antua","M","22.0","Spain","1992","Football","1"
"88782","Abelardo Olivier","M","42.0","Italy","1920","Fencing","3"
"11601","Abhinav Bindra","M","25.0","India","2008","Shooting","1"
"55498","Abigail Johnston","F","22.0","USA","2012","Diving","1"
"87688","Abiodun Obafemi","M","22.0","Nigeria","1996","Football","1"
"19885","Abraham Charit","M","30.0","Netherlands","1948","Weightlifting","1"
"65145","Abraham Kurland","M","20.0","Denmark","1932","Wrestling","1"
"71131","Abraham Lomans","M","25.0","Netherlands","2000","Hockey","2"
"88590","Abraham Manzano","M","26.0","Spain","1996","Cycling","1"
"2355","Abramo Albini","M","20.0","Italy","1968","Rowing","1"
"118106","Abutaleb Gorgori","M","23.0","Iran","1968","Wrestling","1"
"103557","Ace Rusevski","M","19.0","Serbia","1976","Boxing","1"
"85395","Acer Nethercott","M","30.0","UK","2008","Rowing","1"
"94584","Achille Piccini","M","24.0","Italy","1936","Football","1"
"95892","Achille Pollet","M","33.0","France","1920","Gymnastics","1"
"121896","Achille Tribouillet","M","25.0","France","1928","Water Polo","1"
"48551","Achim Hill","M","29.0","Germany","1964","Rowing","2"
"102201","Ada Arroyo","F","24.0","Mexico","2012","Archery","1"
"112170","Ada Smith","F","24.0","UK","1928","Gymnastics","1"
"15974","Adalberts Bubenko","M","26.0","Latvia","1936","Athletics","1"
"22591","Adam Commens","M","24.0","Australia","2000","Hockey","1"
"26823","Adam Deadmarsh","M","26.0","USA","2002","Ice Hockey","1"
"32720","Adam Enright","M","26.0","Canada","2010","Curling","1"
"36193","Adam Foote","M","30.0","Canada","2002","Ice Hockey","1"
"43907","Adam Gunn","M","31.0","USA","1904","Athletics","1"
"125797","Adam Joseph","M","33.0","Australia","2004","Shooting","1"
"124716","Adam Koeverden","M","30.0","Canada","2012","Canoeing","4"
"62850","Adam Korol","M","33.0","Poland","2008","Rowing","1"
"63933","Adam Kreek","M","27.0","Canada","2008","Rowing","1"
"64235","Adam Krlikiewicz","M","29.0","Poland","1924","Equestrianism","1"
"64462","Adam Krzesiski","M","30.0","Poland","1996","Fencing","2"
"70458","Adam Lisewski","M","24.0","Poland","1968","Fencing","1"
"77162","Adam Maysz","M","32.0","Poland","2010","Ski Jumping","4"
"85183","Adam Nelson","M","29.0","USA","2004","Athletics","2"
"91266","Adam Pape","M","37.0","Poland","1932","Fencing","2"
"92529","Adam Peaty","M","21.0","UK","2016","Swimming","2"
"94947","Adam Pine","M","32.0","Australia","2008","Swimming","3"
"101229","Adam Robak","M","23.0","Poland","1980","Fencing","1"
"105416","Adam Sandurski","M","27.0","Poland","1980","Wrestling","1"
"106393","Adam Saytiyev","M","22.0","Russia","2000","Wrestling","1"
"108848","Adam Seroczyski","M","26.0","Poland","2000","Canoeing","1"
"112093","Adam Smelczyski","M","26.0","Poland","1956","Shooting","1"
"120900","Adam Tomasiak","M","27.0","Poland","1980","Rowing","1"
"129933","Adam Wheeler","M","27.0","USA","2008","Wrestling","1"
"130252","Adam Wiercioch","M","27.0","Poland","2008","Fencing","1"
"131681","Adam Wright","M","31.0","USA","2008","Water Polo","1"
"379","Addis Abebe","M","21.0","Ethiopia","1992","Athletics","1"
"2892","Ade Alleyne-Forte","M","23.0","Trinidad","2012","Athletics","1"
"66136","Adelaide Lambert","F","20.0","USA","1928","Swimming","1"
"101246","Adelheid Robbiani","F","33.0","Switzerland","1984","Equestrianism","1"
